Owner,Account Name,Account Id,Control Name,Control ID,Severity,Failure Count,Sample Resources
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Bucket MFA Delete Enabled,21492,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Cross Account Access,21494,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Disabled HTTP Requests,16025,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Object Lock,21501,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Server Side Default Encryption,21496,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Server Side Encryption via Bucket Policies,21497,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Transfer Acceleration,21502,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Defined Amazon Macie Job,16028,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,AWS S3 - Bucket Logging Enabled,67003,Medium,2,"barron-colddata-traillog, barron-colddata"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Enable Provisioned Concurrency,21347,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Check Lambda Function URL Not in Use,21365,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Cross Account Access,21350,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Enable Code Signing,21366,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Enabled Trail Log File Encryption,16051,Medium,2,"barron-colddataTrail, aws-controltower-BaselineCloudTrail"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Enable Enhanced Monitoring for Lambda Functions,21345,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Function Uses Supported Runtime,21131,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Tracing Enabled,21352,Medium,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Buckets Lifecycle Configuration,21500,Medium,1,barron-colddata-traillog
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Enabled S3 Read Events Log,16055,Medium,1,barron-colddata-traillog
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Enabled S3 Write Events Log,16054,Medium,1,barron-colddata-traillog
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,GuardDuty - Findings,37202,Medium,1,ap-southeast-1 - GuardDuty Detector
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,GuardDuty - Enabled,27142,Medium,1,ap-northeast-2
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudFormation - Integration with Simple Notification Service (SNS),21014,Low,10,"StackSet-AWSControlTowerBP-BASELINE-SERVICE-LINKED-ROLE-0e1f483c-9c3d-49ca-93ae-2279dfcca169, StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-600ae2b5-802c-480c-ac8a-e60d57753214, StackSet-AWSCloudFormationStackSet-ExecutionRole-1c031ccc-b81c-4d4b-8144-530667691964"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Enable Dead Letter Queue for Lambda Functions,21343,Low,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudTrail - Trails are integrated with Amazon CloudWatch Logs,21122,Low,1,barron-colddataTrail
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudFormation - Stack Policy,21447,High,26,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-b78aa04e-c793-4ef2-83f5-4c926b447ff3, StackSet-AWSCloudFormationStackSet-ExecutionRole-9b4ce682-2cf8-44f8-84ed-0104e5137d85, StackSet-AWSControlTowerBP-BASELINE-CONFIG-87db73f5-b452-492e-97ef-42d30e2bbb0e"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudFormation - Deletion Policy in Use,21445,High,25,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-b78aa04e-c793-4ef2-83f5-4c926b447ff3, StackSet-AWSCloudFormationStackSet-ExecutionRole-9b4ce682-2cf8-44f8-84ed-0104e5137d85, StackSet-AWSControlTowerBP-BASELINE-CONFIG-87db73f5-b452-492e-97ef-42d30e2bbb0e"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,EBS - Enabled Encryption At Rest (Region-wise),16031,High,14,"eu-central-1, ap-northeast-2, us-east-2"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,IAM - Enabled Access Analyzer,16022,High,14,"eu-central-1, ap-northeast-2, us-east-2"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,SNS - Enable Server-Side Encryption for Topics,21373,High,7,"arn:aws:sns:ap-northeast-2:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:eu-north-1:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:ap-southeast-2:533266996004:aws-controltower-SecurityNotifications"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,SNS - Cross Account Access,21372,High,7,"arn:aws:sns:ap-northeast-2:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:eu-north-1:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:ap-southeast-2:533266996004:aws-controltower-SecurityNotifications"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - VPC Access for AWS Lambda Functions,21354,High,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Enable Encryption at Rest for Environment Variables using Customer Master Keys,21344,High,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to Telnet Port (ACL),21301,High,5,"acl-0506e164f37c5c183, acl-050fe022fb93fbdc6, acl-0df41f0334fbaf4ba"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to SSH Port (ACL),21300,High,5,"acl-0506e164f37c5c183, acl-050fe022fb93fbdc6, acl-0df41f0334fbaf4ba"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to Administration Ports (ACL),16071,High,5,"acl-0506e164f37c5c183, acl-050fe022fb93fbdc6, acl-0df41f0334fbaf4ba"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to RDP Port (ACL),21302,High,5,"acl-0506e164f37c5c183, acl-050fe022fb93fbdc6, acl-0df41f0334fbaf4ba"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Enabled MFA Delete,16027,High,4,"cc-colddata - Versioning, cc-colddata-traillog - Versioning, christinecheung - Versioning"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Enabled Versioning,16026,High,3,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Enabled Trail Bucket Logging,16050,High,2,"cc-colddata-traillog, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Running CloudTrail Integration with CloudWatch,16045,High,2,"cc-colddataTrail, christinecheungTrail"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,EC2 - Transit Gateways should not automatically accept VPC attachment requests,21319,High,1,tgw-0da90d70ca7bdb019
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Using An IAM Role For More Than One Lambda Function,21353,High,1,aws-controltower-ForwardSnsNotificationRole
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudFormation - Enabled Termination Protection,21292,Medium,26,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-b78aa04e-c793-4ef2-83f5-4c926b447ff3, StackSet-AWSCloudFormationStackSet-ExecutionRole-9b4ce682-2cf8-44f8-84ed-0104e5137d85, StackSet-AWSControlTowerBP-BASELINE-CONFIG-87db73f5-b452-492e-97ef-42d30e2bbb0e"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Inspector 2 - Not Enabled,37136,Medium,15,533266996004
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,SecurityHub - Enabled,37236,Medium,14,"eu-central-1, ap-northeast-2, us-east-2"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Data Lifecycle Manager - Automate EBS Snapshot,37194,Medium,14,"eu-central-1, ap-northeast-2, us-east-2"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Glue - Encrypted with CMK,37203,Medium,13,"us-east-2, ap-northeast-3, eu-central-1"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Glue - Data Catalog Objects Encrypted,27135,Medium,13,"us-east-2, ap-northeast-3, eu-central-1"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Glue - Data Catalog Connection Passwords Encryption,27136,Medium,13,"us-east-2, ap-northeast-3, eu-central-1"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,EC2 - Subnets should not automatically assign public IP addresses,21309,Medium,11,"subnet-0abc9331afaaaf186, subnet-024509dd72e201aef, subnet-08574d5aaa857c02b"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Config - Referencing Missing S3 Bucket,37210,Medium,8,aws-controltower-BaselineConfigDeliveryChannel
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,KMS - Cross Account Access,21452,Medium,8,"86f8109c-5662-471c-ae61-6a2202080b4f, 827abc78-9b02-41e8-8f2b-38bb7ddefdef, 364fb9ba-4192-4b33-9756-c99987374c72"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Network without Traffic Logging (AWS),27165,Medium,7,"vpc-0bed7e3852831a65c, vpc-08914151140f9385d, vpc-0540307c1ec65e451"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,SNS - Encrypted at Rest Using AWS KMS,21121,Medium,7,"arn:aws:sns:ap-northeast-2:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:eu-north-1:533266996004:aws-controltower-SecurityNotifications, arn:aws:sns:ap-southeast-2:533266996004:aws-controltower-SecurityNotifications"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Enabled VPCs Flow Logs,16053,Medium,7,"vpc-0bed7e3852831a65c, vpc-08914151140f9385d, vpc-0540307c1ec65e451"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Default Security Groups Restrict All,16073,Medium,7,"default (sg-0d4a1a678edaa0170), default (sg-0346c92087403a91d), default (sg-04229eeb608f20553)"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to Any Port (Security Groups),21329,Medium,7,"default (sg-0d4a1a678edaa0170), default (sg-0346c92087403a91d), default (sg-04229eeb608f20553)"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Enable Enhanced Monitoring for Lambda Functions,21345,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Cloud Account - Identity Provider,27000,Medium,6,"stacksets-exec-34bb2fb56332dec09be921cd51578f4e, AWSControlTowerExecution, sysdig-secure-posture-lihnqv"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Tracing Enabled,21352,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Function Uses Supported Runtime,21131,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Enable Provisioned Concurrency,21347,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Check Lambda Function URL Not in Use,21365,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Enable Code Signing,21366,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Lambda - Cross Account Access,21350,Medium,6,aws-controltower-NotificationForwarder:$LATEST
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudFormation - Stacks should have associated service roles,4232,Medium,6,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-b78aa04e-c793-4ef2-83f5-4c926b447ff3, StackSet-AWSControlTowerBP-BASELINE-CONFIG-87db73f5-b452-492e-97ef-42d30e2bbb0e, StackSet-AWSControlTowerBP-BASELINE-SERVICE-ROLES-15a33f88-f362-493c-b35e-6a64b750ec75"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudFormation - Stacks should have termination protection enabled,4231,Medium,6,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-b78aa04e-c793-4ef2-83f5-4c926b447ff3, StackSet-AWSControlTowerBP-BASELINE-CONFIG-87db73f5-b452-492e-97ef-42d30e2bbb0e, StackSet-AWSControlTowerBP-BASELINE-SERVICE-ROLES-15a33f88-f362-493c-b35e-6a64b750ec75"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,CloudWatch Event - Events In Use,37146,Medium,6,"eu-central-1, ap-northeast-3, sa-east-1"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Defined Amazon Macie Job,16028,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Buckets Encrypted with Customer-Provided CMKs,21499,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Cross Account Access,21494,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Object Lock,21501,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,SNS - Appropriate Subscribers,21371,Medium,5,"arn:aws:sns:eu-north-1:533266996004:aws-controltower-SecurityNotifications:ddf25aa5-ed6f-49df-a212-08ea8d0af89f, arn:aws:sns:eu-west-2:533266996004:aws-controltower-SecurityNotifications:4a5b54bf-324a-4674-a574-7d1a6d3eabb0, arn:aws:sns:us-west-2:533266996004:aws-controltower-SecurityNotifications:448c773f-c67a-4f18-9a46-5742ca7013ae"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Server Side Default Encryption,21496,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Server Side Encryption via Bucket Policies,21497,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Transfer Acceleration,21502,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Bucket MFA Delete Enabled,21492,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,AWS S3 - Bucket Logging Enabled,67003,Medium,5,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheung"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Networking - Disallowed Public Access to Any Port (ACL),21328,Medium,5,"acl-0506e164f37c5c183, acl-050fe022fb93fbdc6, acl-0df41f0334fbaf4ba"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Enabled S3 Read Events Log,16055,Medium,3,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Enabled S3 Write Events Log,16054,Medium,3,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,Logging - Enabled Trail Log File Encryption,16051,Medium,3,"cc-colddataTrail, christinecheungTrail, aws-controltower-BaselineCloudTrail"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Disabled HTTP Requests,16025,Medium,3,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,S3 - Buckets Lifecycle Configuration,21500,Medium,3,"cc-colddata-traillog, cf-templates-1lm80jd35ivvu-ap-southeast-1, christinecheungtraillog"
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,GuardDuty - Findings,37202,Medium,1,ap-southeast-1 - GuardDuty Detector
Christine Cheung (Assoc Prof),AWS-LKC-CCLab,533266996004,DataSync - Appropriate LogLevel configuration,27110,Medium,1,Datatransfer
